ID,Name,Brand ID,Category ID,Max Price (CNY),Image URL,Biz Type,Is Environmental Recycling
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/71248bf6-52ad-4d5a-80e2-65357df77e39.jpeg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/1e87e2fa-8f3d-4b03-89e1-1eeeec95740a.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/15907154-e0da-4fab-a314-e0ae63a3fb30.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/1e9aaa20-3876-4b3d-aec2-4ad1b91e9d27.png,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/d54f935a-9d13-4a23-901b-dc75b766286e.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/4011bcd4-bc82-4744-bb62-1ac0a9345496.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/8a2d5e39-56b6-438f-8850-d5074640bee5.png,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/6af4635c-608f-4208-a9d7-3365aec5addb.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/55b37784-e115-4c1f-88c1-c8d8f69d950e.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/1ac505ed-82ca-4ac2-afa9-f9a70e2a78db.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/92bf6d3e-7dde-4590-b139-a80edfb88a79.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/c5ed5f70-9e5f-4fff-85ba-73e5787eaeea.png,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/fcbbfeda-6808-49f8-9df6-29af405c609a.jpg,,False
,,,,,https://ahs-pub.aihuishou.com/official/eagle/cms/d7c1dfd7-4825-4d5a-8d73-31d9b041a704.jpg,,False
52.0,苹果,,,,,,False
7.0,三星,,,,,,False
184.0,小米,,,,,,False
24.0,魅族,,,,,,False
9.0,华为,,,,,,False
19.0,诺基亚 ,,,,,,False
21.0,酷派 ,,,,,,False
103.0,华硕,,,,,,False
342.0,努比亚,,,,,,False
4.0,OPPO,,,,,,False
1.0,HTC,,,,,,False
8.0,中兴 ,,,,,,False
365.0,乐视,,,,,,False
15.0,朵唯,,,,,,False
18.0,联想,,,,,,False
3.0,LG,,,,,,False
20.0,谷歌,,,,,,False
14.0,摩托罗拉 ,,,,,,False
17.0,索尼,,,,,,False
16.0,vivo,,,,,,False
356.0,锤子,,,,,,False
278.0,金立,,,,,,False
357.0,一加,,,,,,False
661.0,iQOO,,,,,,False
484.0,荣耀,,,,,,False
538.0,realme,,,,,,False
25.0,黑莓 ,,,,,,False
391.0,美图,,,,,,False
497.0,中国移动,,,,,,False
1753.0,Hi nova,,,,,,False
496.0,海信,,,,,,False
1265.0,麦芒,,,,,,False
1219.0,黑鲨,,,,,,False
460.0,360,,,,,,False
266.0,其他品牌,,,,,,False
